Locus	Prop. Matching Expression with Dsc1	Gene
LOC5565309	0.602442141	
LOC5568795	0.602442141	
LOC5572662	0.602158171	
LOC5571458	0.602016186	
LOC5576668	0.601022292	
LOC5565904	0.600312367	
LOC5579940	0.600170382	
LOC5575432	0.599176487	
LOC5573765	0.599034502	
LOC5578378	0.598892517	
LOC5572161	0.598324578	
LOC5577226	0.598324578	
LOC5568484	0.598040608	
LOC5577268	0.597330683	
LOC23687839	0.597188698	
LOC5563646	0.597046713	
LOC5567755	0.596336788	
LOC5564257	0.596194803	
LOC110675652	0.596052818	
LOC5573555	0.596052818	
LOC5565053	0.595768849	
LOC110675803	0.595342894	
LOC5579092	0.595200909	
LOC5571296	0.595058924	
LOC5572945	0.594774954	
LOC5575526	0.594632969	
LOC5573975	0.594490984	
LOC5572048	0.593781059	
LOC5578048	0.593781059	
LOC5569188	0.592787165	
LOC5570070	0.592787165	
LOC5567281	0.59264518	
LOC5568663	0.592219225	
LOC5579820	0.59179327	
LOC5572851	0.591651285	
Ir25a	0.591651285	coreceptor for IRs
LOC5571932	0.5915093	
LOC5570957	0.59094136	
LOC110677676	0.590231435	
LOC5568590	0.590231435	
LOC5569559	0.589947466	
LOC5565266	0.589947466	
LOC5577061	0.589379526	
LOC5564786	0.587959676	
LOC5563894	0.587675706	
LOC5578007	0.587391736	
LOC5567074	0.587249752	
LOC5576345	0.585971887	
LOC5565621	0.584694022	
LOC5574290	0.584552037	
LOC5564978	0.584552037	
LOC5570841	0.584268068	
LOC5575983	0.583984098	
LOC5570169	0.583984098	
LOC5569385	0.583700128	
LOC5577246	0.583558143	
LOC5567614	0.583558143	
LOC5564303	0.583558143	
LOC5578495	0.583132188	
LOC5576157	0.583132188	
LOC5579823	0.582564248	
LOC5571858	0.582564248	
LOC5575014	0.582422263	
LOC5570243	0.582138293	
LOC5568050	0.581996308	
LOC5567321	0.581712338	
LOC5573593	0.581712338	
LOC5567099	0.581570354	
LOC5563951	0.581570354	
LOC5574561	0.580718444	
LOC5571294	0.580576459	
LOC5569810	0.580292489	
LOC110675098	0.580150504	
LOC110675975	0.579866534	
LOC5571447	0.579582564	
LOC5564066	0.579298594	
LOC5564097	0.579298594	
LOC5574559	0.579298594	
LOC5571574	0.57887264	
LOC5579180	0.57887264	
LOC5568599	0.57887264	
LOC5566222	0.578730655	
LOC5574298	0.57858867	
LOC5572877	0.578446685	
LOC110674836	0.5783047	
LOC5567142	0.5783047	
LOC5578015	0.57773676	
LOC5570461	0.577310805	
LOC5572914	0.577310805	
LOC5573336	0.57688485	
LOC5577289	0.576742865	
LOC5574374	0.575890956	
LOC5577719	0.575323016	
LOC5564147	0.575181031	
LOC5565485	0.575039046	
LOC5564119	0.574897061	
LOC5568085	0.574755076	
LOC5569564	0.574471106	
LOC5574475	0.574471106	
LOC5565307	0.574471106	
LOC5575196	0.574329121	
LOC5578831	0.574187136	
LOC5564403	0.574045151	
LOC5566648	0.573619196	
